python main.py -c 9,4 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c9_4-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	21	4.832	0.927
	1	160	4.17	1.107
	2	510	3.928	1.265
	3	1096	3.626	1.419
	4	1847	3.483	1.384
	5	2308	3.359	1.221
	6	1946	3.454	1.372
	7	1310	3.721	1.586
	8	623	4.003	1.574
	9	158	4.312	1.592
	10	21	5.764	2.979


Coefficient 1
	Above	Total	Mean	Stdev
	0	47	5.189	2.322
	1	323	4.115	1.382
	2	965	3.84	1.426
	3	1692	3.648	1.529
	4	2124	3.44	1.294
	5	2123	3.383	1.34
	6	1540	3.5	1.474
	7	846	3.709	1.264
	8	262	3.994	1.361
	9	73	4.0	1.202
	10	5	3.684	0.838
