python main.py -c 3,2,1 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c2_1-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	1	2.828	0.0
	1	8	4.053	0.593
	2	74	3.407	1.344
	3	222	2.978	1.22
	4	685	2.722	1.128
	5	1364	2.597	1.092
	6	2051	2.695	1.234
	7	2239	2.986	1.577
	8	1930	3.441	1.775
	9	1063	4.069	1.88
	10	363	4.695	1.924


Coefficient 1
	Above	Total	Mean	Stdev
	0	603	3.63	1.612
	1	1821	3.341	1.667
	2	2597	3.117	1.573
	3	2439	3.016	1.6
	4	1480	2.909	1.581
	5	708	2.901	1.439
	6	289	3.16	1.62
	7	53	3.757	1.78
	8	10	4.52	1.16
	9	0	0	0
	10	0	0	0


Coefficient 2
	Above	Total	Mean	Stdev
	0	109	5.729	2.297
	1	383	4.82	1.992
	2	1062	4.006	1.986
	3	1837	3.365	1.715
	4	2202	2.953	1.458
	5	2014	2.704	1.257
	6	1371	2.621	1.053
	7	743	2.688	1.009
	8	239	2.816	0.998
	9	35	3.064	1.074
	10	5	2.466	0.494
