Period,Admissions,Feature1
-19.293003787165237,-4.7926021104903223,1
-19.293003787165237,3.461452970738458,0
-19.293003787165237,-24.422561154128346,7
-19.293003787165237,-19.022552480826,3
-19.293003787165237,-28.303925119005463,6
-19.293003787165237,-31.434377980474736,8
-19.293003787165237,-37.547358853654508,9
-19.293003787165237,-17.286440291509912,5
-19.293003787165237,-7.6859531406186576,4
-19.293003787165237,-25.895719711682887,2
