python main.py -c 3,2,1 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c2_1-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	2	13.114	0.336
	1	20	11.66	2.813
	2	102	9.636	3.025
	3	370	8.43	2.997
	4	860	7.855	2.843
	5	1529	7.535	2.688
	6	2111	7.747	2.809
	7	2289	8.131	3.243
	8	1723	9.194	3.607
	9	793	10.162	3.982
	10	201	10.639	4.226


Coefficient 1
	Above	Total	Mean	Stdev
	0	556	9.115	3.524
	1	1707	8.562	3.194
	2	2558	8.384	3.276
	3	2365	8.224	3.421
	4	1592	8.027	3.243
	5	833	8.133	3.006
	6	308	8.787	3.432
	7	70	9.58	2.991
	8	10	12.111	4.25
	9	1	12.718	0.0
	10	0	0	0


Coefficient 2
	Above	Total	Mean	Stdev
	0	3	14.143	5.062
	1	50	17.933	4.369
	2	185	13.089	4.823
	3	513	11.158	4.525
	4	1039	9.55	3.894
	5	1816	8.33	3.127
	6	2128	7.687	2.78
	7	2072	7.554	2.505
	8	1444	7.921	2.46
	9	609	7.988	2.467
	10	141	8.493	2.543
