python main.py -c 9,4 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c9_4-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	2	1.73	0.17
	1	22	2.665	3.225
	2	118	1.618	0.956
	3	465	1.4	0.811
	4	1162	1.239	0.562
	5	1778	1.185	0.545
	6	2303	1.184	0.541
	7	2044	1.217	0.515
	8	1422	1.292	0.465
	9	555	1.34	0.445
	10	129	1.495	0.461


Coefficient 1
	Above	Total	Mean	Stdev
	0	104	1.604	0.436
	1	458	1.386	0.422
	2	1138	1.34	0.459
	3	1825	1.239	0.553
	4	2219	1.172	0.454
	5	1981	1.179	0.596
	6	1363	1.202	0.484
	7	632	1.328	0.826
	8	224	1.486	0.801
	9	49	1.679	1.355
	10	7	3.432	4.521
