python main.py -c 3,2,1 -n 15 -h 30,30 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c3_2_1-k10-n1_5-2/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	389	3.108	0.899
	1	524	2.575	0.733
	2	867	2.243	0.621
	3	1331	2.115	0.58
	4	1607	2.022	0.582
	5	1616	2.013	0.592
	6	1465	2.116	0.673
	7	1113	2.356	0.759
	8	656	2.854	0.935
	9	333	3.399	1.045
	10	99	3.783	1.039


Coefficient 1
	Above	Total	Mean	Stdev
	0	149	2.709	0.582
	1	537	2.537	0.898
	2	957	2.346	0.864
	3	1475	2.236	0.834
	4	1873	2.164	0.745
	5	1821	2.161	0.715
	6	1553	2.244	0.739
	7	947	2.426	0.78
	8	474	2.62	0.79
	9	167	2.735	0.772
	10	47	3.072	0.871


Coefficient 2
	Above	Total	Mean	Stdev
	0	75	3.855	0.932
	1	303	3.222	1.009
	2	584	2.771	1.031
	3	1009	2.471	0.942
	4	1481	2.174	0.749
	5	1764	2.065	0.613
	6	1770	2.073	0.559
	7	1388	2.175	0.603
	8	948	2.311	0.692
	9	505	2.57	0.799
	10	173	2.919	0.966
