python main.py -c 9,4 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c9_4-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	11	0.781	0.184
	1	69	0.799	0.781
	2	393	0.654	0.268
	3	899	0.599	0.209
	4	1655	0.56	0.229
	5	2270	0.545	0.194
	6	2149	0.559	0.21
	7	1513	0.583	0.206
	8	766	0.625	0.246
	9	241	0.654	0.202
	10	34	0.703	0.202


Coefficient 1
	Above	Total	Mean	Stdev
	0	46	0.72	0.224
	1	349	0.643	0.195
	2	875	0.611	0.222
	3	1700	0.578	0.206
	4	2189	0.557	0.214
	5	2074	0.554	0.207
	6	1567	0.558	0.219
	7	823	0.607	0.242
	8	311	0.634	0.238
	9	61	0.78	0.821
	10	5	0.796	0.212
