python main.py -c 3,2,1 -n 15 -h 100,100 -l 1,1 -s 0.0 -o ../../results/rmse-vs-above-c2_1-k10-n0_0/data.csv

Coefficient 0
	Above	Total	Mean	Stdev
	0	2	3.057	0.464
	1	28	2.186	0.586
	2	137	1.939	0.659
	3	471	1.732	0.608
	4	1005	1.576	0.558
	5	1760	1.569	0.622
	6	2226	1.606	0.649
	7	2187	1.726	0.727
	8	1404	1.833	0.805
	9	641	2.055	0.882
	10	139	2.179	0.835


Coefficient 1
	Above	Total	Mean	Stdev
	0	235	1.792	0.605
	1	948	1.731	0.608
	2	1929	1.698	0.678
	3	2339	1.65	0.69
	4	2143	1.66	0.723
	5	1453	1.679	0.735
	6	663	1.848	0.806
	7	221	2.088	0.83
	8	57	2.123	0.833
	9	12	2.809	0.931
	10	0	0	0


Coefficient 2
	Above	Total	Mean	Stdev
	0	10	3.194	0.711
	1	69	3.208	1.048
	2	247	2.756	1.034
	3	556	2.268	0.923
	4	1083	1.936	0.81
	5	1780	1.671	0.681
	6	2070	1.578	0.598
	7	1949	1.525	0.534
	8	1430	1.559	0.524
	9	655	1.598	0.498
	10	151	1.69	0.457
